Predicted X,Predicted Y,Actual X,Actual Y
0,0,771.904,354
346.206,185.287,692.412,370.574
702.605,398.814,702.605,398.814
789.311,444.616,690.003,386.143
764.27,426.589,690.931,384.886
589.665,416.735,579.194,393.833
563.422,408.688,586.714,396.554
528.929,414.448,554.84,406.455
533.936,413.616,555.014,407.674
498.577,350.028,518.719,358.69
469.891,339.809,493.888,356.643
447.96,337.637,472.223,350.648
424.973,335.874,448.652,345.128
400.164,338.597,423.965,344.429
379.319,343.712,402.685,346.172
300.622,367.782,334.477,363.955
291.321,374.472,326.783,367.184
304.49,377.075,326.669,370.792
298.531,327.545,312.467,332.733
342.471,379.518,343.915,379.848
312.21,330.019,312.806,332.5
312.156,320.086,316.894,330.762
208.159,331.794,231.69,337.975
191.807,337.561,225.455,338.836
193.15,339.902,217.459,339.46
194.241,333.365,209.895,334.019
190.632,327.026,201.526,329.638
181.691,323.969,191.159,327.202
171.31,324.723,180.881,327.148
160.624,325.195,170.53,326.597
151.483,324.443,161.35,325.45
143.754,320.695,153.099,322.203
138.023,320.036,146.427,321.698
131.798,318.378,139.392,319.896
126.72,310.232,133.625,313.07
120.576,304.336,127.07,308.534
114.763,301.641,121.074,305.787
108.385,298.087,114.637,301.909
101.234,295.019,107.681,298.655
94.5199,291.205,101.12,294.795
88.6112,287.407,95.0919,291.07
83.112,285.243,89.3184,288.631
78.9649,283.848,84.6661,286.67
75.7202,283.441,80.7172,285.585
73.8346,282.505,77.9705,284.164
71.6602,281.408,75.0891,282.853
69.0865,280.401,72.1681,281.71
67.2835,279.508,70.0416,280.692
